iteration,solid_sediment_kg,solid_cs137_Bq,liquid_cs137_bq,solid_am241_bq
5,2.392e+03,3.29e+08,2.90e+09,3.31e+06
5,2.199e+03,3.03e+08,2.17e+09,3.01e+06
5,2.096e+03,2.92e+08,2.05e+09,2.93e+06
5,1.954e+03,2.64e+08,1.99e+09,2.61e+06
5,2.037e+03,2.80e+08,1.40e+09,2.80e+06
5,1.905e+03,2.63e+08,2.87e+09,2.60e+06
5,1.957e+03,2.70e+08,1.92e+09,2.70e+06
5,2.014e+03,2.73e+08,1.32e+09,2.74e+06
5,2.530e+03,3.48e+08,1.80e+09,3.46e+06
5,2.539e+03,3.53e+08,1.89e+09,3.53e+06
5,1.604e+03,2.18e+08,1.42e+09,2.21e+06
5,2.104e+03,2.84e+08,2.57e+09,2.85e+06
5,2.245e+03,3.07e+08,2.00e+09,3.08e+06
5,1.703e+03,2.29e+08,1.69e+09,2.31e+06
5,1.947e+03,2.68e+08,1.83e+09,2.68e+06
5,2.162e+03,2.96e+08,1.87e+09,2.98e+06
5,1.936e+03,2.63e+08,2.15e+09,2.64e+06
5,2.379e+03,3.24e+08,2.30e+09,3.23e+06
5,2.035e+03,2.76e+08,2.89e+09,2.77e+06
5,2.056e+03,2.84e+08,3.10e+09,2.86e+06
5,1.540e+03,2.08e+08,2.30e+09,2.12e+06
5,2.221e+03,3.02e+08,1.69e+09,3.05e+06
5,1.603e+03,2.18e+08,1.07e+09,2.18e+06
5,1.998e+03,2.71e+08,1.67e+09,2.74e+06
5,2.088e+03,2.82e+08,2.86e+09,2.85e+06
5,2.246e+03,3.07e+08,3.57e+09,3.08e+06
5,2.352e+03,3.21e+08,2.80e+09,3.24e+06
5,2.674e+03,3.67e+08,2.44e+09,3.65e+06
5,1.690e+03,2.33e+08,1.14e+09,2.34e+06
5,2.895e+03,3.99e+08,1.13e+09,3.96e+06
5,1.716e+03,2.35e+08,1.75e+09,2.34e+06
5,2.274e+03,3.09e+08,4.32e+09,3.06e+06
5,1.675e+03,2.31e+08,2.27e+09,2.33e+06
5,2.682e+03,3.69e+08,1.26e+09,3.67e+06
5,2.077e+03,2.88e+08,1.26e+09,2.88e+06
5,2.152e+03,2.93e+08,2.50e+09,2.94e+06
5,1.996e+03,2.73e+08,1.15e+09,2.75e+06
5,2.381e+03,3.22e+08,2.68e+09,3.23e+06
5,2.192e+03,3.00e+08,1.95e+09,3.00e+06
5,1.769e+03,2.47e+08,2.20e+09,2.45e+06
5,2.311e+03,3.16e+08,2.05e+09,3.19e+06
5,1.528e+03,2.06e+08,1.41e+09,2.08e+06
5,2.093e+03,2.80e+08,1.20e+09,2.79e+06
5,2.017e+03,2.78e+08,3.01e+09,2.81e+06
5,1.783e+03,2.44e+08,2.23e+09,2.47e+06
5,2.146e+03,2.92e+08,2.27e+09,2.93e+06
5,2.242e+03,3.09e+08,3.53e+09,3.09e+06
5,1.904e+03,2.60e+08,2.22e+09,2.62e+06
5,2.224e+03,3.01e+08,3.53e+09,3.02e+06
5,1.985e+03,2.68e+08,2.51e+09,2.69e+06
5,2.129e+03,2.89e+08,2.31e+09,2.92e+06
5,2.212e+03,3.01e+08,1.80e+09,3.00e+06
5,1.934e+03,2.68e+08,2.05e+09,2.65e+06
5,2.302e+03,3.17e+08,1.57e+09,3.22e+06
5,2.478e+03,3.43e+08,2.11e+09,3.44e+06
5,1.787e+03,2.41e+08,1.15e+09,2.43e+06
5,3.000e+03,4.04e+08,2.43e+09,4.09e+06
5,2.082e+03,2.83e+08,1.29e+09,2.85e+06
5,2.410e+03,3.26e+08,1.61e+09,3.24e+06
5,2.148e+03,2.89e+08,1.92e+09,2.89e+06
5,2.182e+03,2.95e+08,3.31e+09,2.97e+06
5,2.686e+03,3.65e+08,1.94e+09,3.64e+06
5,1.926e+03,2.63e+08,1.35e+09,2.64e+06
5,1.899e+03,2.59e+08,3.54e+09,2.63e+06
5,2.793e+03,3.84e+08,2.15e+09,3.85e+06
5,2.451e+03,3.39e+08,2.06e+09,3.39e+06
5,1.997e+03,2.75e+08,2.34e+09,2.79e+06
5,1.790e+03,2.44e+08,2.08e+09,2.44e+06
5,1.509e+03,2.07e+08,7.85e+08,2.08e+06
5,2.473e+03,3.36e+08,1.75e+09,3.36e+06
5,2.289e+03,3.11e+08,1.89e+09,3.17e+06
5,2.426e+03,3.30e+08,1.34e+09,3.29e+06
5,2.389e+03,3.24e+08,1.42e+09,3.26e+06
5,2.131e+03,2.89e+08,1.50e+09,2.93e+06
5,1.950e+03,2.73e+08,1.92e+09,2.74e+06
5,2.518e+03,3.40e+08,1.19e+09,3.41e+06
5,2.603e+03,3.64e+08,3.06e+09,3.67e+06
5,1.874e+03,2.55e+08,2.49e+09,2.56e+06
5,2.234e+03,3.05e+08,1.64e+09,3.07e+06
5,1.781e+03,2.44e+08,1.54e+09,2.46e+06
5,2.385e+03,3.30e+08,2.96e+09,3.31e+06
5,2.172e+03,2.96e+08,8.25e+08,2.99e+06
5,1.963e+03,2.72e+08,1.23e+09,2.76e+06
5,2.521e+03,3.38e+08,3.94e+08,3.42e+06
5,2.335e+03,3.21e+08,2.79e+09,3.22e+06
5,1.508e+03,2.07e+08,1.58e+09,2.08e+06
5,1.946e+03,2.63e+08,2.27e+09,2.64e+06
5,1.944e+03,2.65e+08,1.46e+09,2.66e+06
5,2.869e+03,3.97e+08,2.63e+09,3.99e+06
5,1.965e+03,2.71e+08,2.88e+09,2.65e+06
5,2.176e+03,3.01e+08,1.55e+09,3.02e+06
5,1.966e+03,2.62e+08,1.45e+09,2.60e+06
5,2.427e+03,3.38e+08,2.60e+09,3.40e+06
5,2.472e+03,3.37e+08,2.01e+09,3.36e+06
5,2.509e+03,3.43e+08,2.61e+09,3.42e+06
5,1.583e+03,2.15e+08,2.03e+09,2.16e+06
5,2.309e+03,3.14e+08,2.25e+09,3.12e+06
5,1.663e+03,2.26e+08,1.66e+09,2.30e+06
5,2.367e+03,3.20e+08,2.19e+09,3.22e+06
5,2.056e+03,2.77e+08,1.64e+09,2.78e+06
5,2.144e+03,2.93e+08,1.73e+09,2.95e+06
5,1.838e+03,2.50e+08,1.93e+09,2.52e+06
5,1.904e+03,2.61e+08,1.72e+09,2.62e+06
5,2.588e+03,3.58e+08,2.91e+09,3.57e+06
5,2.055e+03,2.77e+08,1.64e+09,2.79e+06
5,2.069e+03,2.82e+08,2.48e+09,2.85e+06
5,2.223e+03,3.05e+08,4.39e+09,3.07e+06
5,1.995e+03,2.71e+08,1.89e+09,2.73e+06
5,2.613e+03,3.54e+08,2.06e+09,3.53e+06
5,2.353e+03,3.23e+08,1.41e+09,3.19e+06
5,2.208e+03,3.11e+08,2.09e+09,3.09e+06
5,2.062e+03,2.82e+08,3.05e+09,2.83e+06
5,2.093e+03,2.92e+08,3.60e+09,2.93e+06
5,2.637e+03,3.65e+08,1.43e+09,3.65e+06
5,2.193e+03,3.04e+08,2.55e+09,3.01e+06
5,2.054e+03,2.86e+08,3.49e+09,2.86e+06
5,2.077e+03,2.86e+08,3.30e+09,2.86e+06
5,2.353e+03,3.17e+08,1.97e+09,3.21e+06
5,1.851e+03,2.57e+08,4.51e+09,2.57e+06
5,1.727e+03,2.41e+08,1.33e+09,2.41e+06
5,2.252e+03,3.07e+08,2.17e+09,3.07e+06
5,2.336e+03,3.19e+08,1.60e+09,3.20e+06
5,2.541e+03,3.47e+08,2.03e+09,3.44e+06
5,2.340e+03,3.16e+08,2.65e+09,3.17e+06
5,2.329e+03,3.17e+08,1.61e+09,3.12e+06
5,2.273e+03,3.07e+08,3.08e+09,3.12e+06
5,1.980e+03,2.69e+08,1.87e+09,2.69e+06
5,1.936e+03,2.67e+08,1.68e+09,2.69e+06
5,2.045e+03,2.80e+08,1.09e+09,2.79e+06
5,2.011e+03,2.74e+08,1.64e+09,2.76e+06
5,2.253e+03,3.09e+08,1.75e+09,3.12e+06
5,2.205e+03,3.02e+08,9.24e+08,3.03e+06
5,1.669e+03,2.26e+08,2.13e+09,2.26e+06
5,2.417e+03,3.29e+08,1.72e+09,3.29e+06
5,2.103e+03,2.83e+08,1.65e+09,2.86e+06
5,2.433e+03,3.30e+08,2.11e+09,3.30e+06
5,2.646e+03,3.63e+08,1.86e+09,3.65e+06
5,1.756e+03,2.35e+08,2.59e+09,2.36e+06
5,1.944e+03,2.64e+08,1.78e+09,2.64e+06
5,2.078e+03,2.83e+08,1.48e+09,2.87e+06
5,1.876e+03,2.51e+08,1.78e+09,2.51e+06
5,2.481e+03,3.42e+08,2.64e+09,3.41e+06
5,1.938e+03,2.61e+08,1.15e+09,2.64e+06
5,2.349e+03,3.21e+08,1.59e+09,3.21e+06
5,2.137e+03,2.87e+08,9.22e+08,2.87e+06
5,2.219e+03,3.03e+08,2.15e+09,3.04e+06
5,2.413e+03,3.23e+08,3.01e+09,3.22e+06
5,2.189e+03,2.99e+08,2.36e+09,2.95e+06
5,2.488e+03,3.43e+08,2.71e+09,3.36e+06
5,1.819e+03,2.48e+08,1.48e+09,2.47e+06
5,1.842e+03,2.53e+08,3.11e+09,2.54e+06
5,2.067e+03,2.81e+08,2.33e+09,2.83e+06
5,2.200e+03,2.93e+08,1.63e+09,2.97e+06
5,2.286e+03,3.10e+08,1.16e+09,3.11e+06
5,1.713e+03,2.35e+08,3.83e+09,2.34e+06
5,2.354e+03,3.20e+08,1.65e+09,3.22e+06
5,2.198e+03,2.96e+08,2.92e+09,2.97e+06
5,1.897e+03,2.60e+08,1.87e+09,2.60e+06
5,1.976e+03,2.74e+08,2.38e+09,2.74e+06
5,2.379e+03,3.33e+08,2.09e+09,3.34e+06
5,2.385e+03,3.30e+08,1.40e+09,3.25e+06
5,2.423e+03,3.31e+08,3.49e+09,3.31e+06
5,2.634e+03,3.63e+08,2.85e+09,3.55e+06
5,1.903e+03,2.58e+08,3.11e+09,2.58e+06
5,1.772e+03,2.45e+08,1.68e+09,2.48e+06
5,2.211e+03,3.04e+08,1.99e+09,3.05e+06
5,2.277e+03,3.09e+08,2.91e+09,3.09e+06
5,2.382e+03,3.31e+08,1.91e+09,3.32e+06
5,2.380e+03,3.30e+08,9.70e+08,3.32e+06
5,2.183e+03,2.95e+08,2.94e+09,2.96e+06
5,1.719e+03,2.37e+08,2.23e+09,2.37e+06
5,2.293e+03,3.12e+08,1.76e+09,3.15e+06
5,1.837e+03,2.50e+08,2.59e+09,2.49e+06
5,2.451e+03,3.31e+08,2.11e+09,3.31e+06
5,2.392e+03,3.31e+08,1.76e+09,3.28e+06
5,2.279e+03,3.12e+08,1.09e+09,3.13e+06
5,2.277e+03,3.11e+08,2.47e+09,3.09e+06
5,1.970e+03,2.70e+08,2.01e+09,2.72e+06
5,1.866e+03,2.55e+08,2.69e+09,2.58e+06
5,2.151e+03,2.95e+08,2.12e+09,2.95e+06
5,2.093e+03,2.86e+08,1.80e+09,2.87e+06
5,2.776e+03,3.77e+08,3.73e+09,3.83e+06
5,2.615e+03,3.58e+08,1.87e+09,3.58e+06
5,1.783e+03,2.42e+08,1.95e+09,2.46e+06
5,2.238e+03,3.10e+08,1.04e+09,3.12e+06
5,2.122e+03,2.89e+08,2.16e+09,2.89e+06
5,1.857e+03,2.53e+08,2.38e+09,2.55e+06
5,2.192e+03,3.06e+08,1.70e+09,3.07e+06
5,1.988e+03,2.72e+08,2.04e+09,2.75e+06
5,2.200e+03,2.99e+08,2.35e+09,3.00e+06
5,2.172e+03,2.97e+08,1.90e+09,2.95e+06
5,2.329e+03,3.11e+08,1.26e+09,3.12e+06
5,1.689e+03,2.31e+08,2.27e+09,2.29e+06
5,2.124e+03,2.92e+08,1.70e+09,2.93e+06
5,2.198e+03,3.02e+08,1.07e+09,3.02e+06
5,1.734e+03,2.35e+08,1.80e+09,2.39e+06
5,2.150e+03,2.89e+08,9.56e+08,2.94e+06
5,2.212e+03,2.99e+08,1.35e+09,3.02e+06
5,2.898e+03,3.97e+08,1.74e+09,3.99e+06
5,1.723e+03,2.33e+08,2.15e+09,2.37e+06
5,1.923e+03,2.63e+08,4.20e+09,2.60e+06
5,2.422e+03,3.31e+08,1.07e+09,3.31e+06
5,2.088e+03,2.86e+08,2.12e+09,2.85e+06
5,2.132e+03,2.93e+08,2.30e+09,2.93e+06
5,2.120e+03,2.91e+08,9.81e+08,2.88e+06
5,2.219e+03,3.03e+08,1.60e+09,3.08e+06
5,2.344e+03,3.18e+08,1.25e+09,3.18e+06
5,1.818e+03,2.49e+08,1.43e+09,2.50e+06
5,1.917e+03,2.62e+08,2.92e+09,2.64e+06
5,1.543e+03,2.08e+08,4.16e+09,2.08e+06
5,1.806e+03,2.43e+08,1.66e+09,2.46e+06
5,2.350e+03,3.23e+08,1.32e+09,3.23e+06
5,2.242e+03,3.06e+08,1.44e+09,3.04e+06
5,2.010e+03,2.71e+08,2.74e+09,2.74e+06
5,2.039e+03,2.76e+08,3.57e+09,2.75e+06
5,2.048e+03,2.81e+08,1.22e+09,2.82e+06
5,2.303e+03,3.14e+08,3.70e+09,3.14e+06
5,2.630e+03,3.59e+08,2.28e+09,3.63e+06
5,2.398e+03,3.25e+08,1.93e+09,3.33e+06
5,2.387e+03,3.27e+08,1.90e+09,3.31e+06
5,1.928e+03,2.59e+08,1.77e+09,2.61e+06
5,2.042e+03,2.76e+08,2.36e+09,2.79e+06
5,1.992e+03,2.74e+08,1.71e+09,2.72e+06
5,2.608e+03,3.63e+08,1.86e+09,3.60e+06
5,2.047e+03,2.82e+08,1.05e+09,2.80e+06
5,1.545e+03,2.12e+08,2.27e+09,2.10e+06
5,1.924e+03,2.65e+08,1.58e+09,2.62e+06
5,3.748e+03,5.12e+08,1.99e+09,5.17e+06
5,2.242e+03,3.04e+08,1.75e+09,3.05e+06
5,2.225e+03,3.01e+08,3.16e+09,3.02e+06
5,2.871e+03,3.92e+08,1.62e+09,3.94e+06
5,1.803e+03,2.45e+08,1.46e+09,2.47e+06
5,2.406e+03,3.27e+08,2.10e+09,3.28e+06
5,2.051e+03,2.82e+08,3.25e+09,2.85e+06
5,2.358e+03,3.26e+08,1.80e+09,3.28e+06
5,2.469e+03,3.46e+08,1.30e+09,3.48e+06
5,2.007e+03,2.74e+08,1.32e+09,2.74e+06
5,2.241e+03,3.12e+08,1.21e+09,3.12e+06
5,2.064e+03,2.83e+08,2.47e+09,2.83e+06
5,1.994e+03,2.69e+08,1.82e+09,2.69e+06
5,2.466e+03,3.36e+08,1.85e+09,3.37e+06
5,1.454e+03,2.00e+08,1.69e+09,1.98e+06
5,2.117e+03,2.90e+08,2.00e+09,2.92e+06
5,2.067e+03,2.82e+08,3.64e+09,2.82e+06
5,2.329e+03,3.10e+08,3.33e+09,3.11e+06
5,2.090e+03,2.84e+08,2.30e+09,2.86e+06
5,2.319e+03,3.20e+08,1.29e+09,3.22e+06
5,1.838e+03,2.50e+08,1.41e+09,2.53e+06
5,2.255e+03,3.14e+08,2.49e+09,3.15e+06
5,2.112e+03,2.86e+08,3.04e+09,2.87e+06
5,1.859e+03,2.55e+08,1.45e+09,2.57e+06
5,1.896e+03,2.62e+08,2.15e+09,2.62e+06
5,1.876e+03,2.56e+08,1.50e+09,2.56e+06
5,2.498e+03,3.37e+08,1.66e+09,3.38e+06
5,2.639e+03,3.57e+08,2.88e+09,3.60e+06
5,2.329e+03,3.23e+08,2.43e+09,3.24e+06
5,1.928e+03,2.62e+08,1.37e+09,2.63e+06
5,1.661e+03,2.27e+08,2.16e+09,2.28e+06
5,2.532e+03,3.48e+08,2.46e+09,3.51e+06
5,2.153e+03,2.90e+08,1.68e+09,2.92e+06
5,2.361e+03,3.22e+08,1.80e+09,3.22e+06
5,2.251e+03,2.99e+08,3.09e+09,2.99e+06
5,1.924e+03,2.61e+08,2.98e+09,2.63e+06
5,1.845e+03,2.54e+08,2.81e+09,2.55e+06
5,2.140e+03,2.91e+08,4.16e+09,2.90e+06
5,1.697e+03,2.35e+08,1.49e+09,2.36e+06
5,1.644e+03,2.22e+08,2.19e+09,2.22e+06
5,1.803e+03,2.45e+08,1.84e+09,2.48e+06
5,2.588e+03,3.51e+08,2.35e+09,3.53e+06
5,2.773e+03,3.82e+08,3.19e+09,3.88e+06
5,2.026e+03,2.74e+08,2.18e+09,2.77e+06
5,1.977e+03,2.68e+08,3.82e+09,2.70e+06
5,1.863e+03,2.53e+08,1.90e+09,2.55e+06
5,1.598e+03,2.15e+08,1.19e+09,2.20e+06
5,2.238e+03,3.02e+08,3.18e+09,3.05e+06
5,1.776e+03,2.41e+08,2.13e+09,2.43e+06
5,1.701e+03,2.33e+08,1.30e+09,2.32e+06
5,2.437e+03,3.39e+08,4.79e+09,3.40e+06
5,2.557e+03,3.52e+08,2.77e+09,3.54e+06
5,2.211e+03,3.04e+08,1.52e+09,3.03e+06
5,2.204e+03,3.10e+08,1.79e+09,3.06e+06
5,2.273e+03,3.09e+08,2.05e+09,3.10e+06
5,2.357e+03,3.24e+08,1.92e+09,3.23e+06
5,2.044e+03,2.81e+08,3.58e+09,2.80e+06
5,1.845e+03,2.53e+08,9.42e+08,2.52e+06
5,2.458e+03,3.38e+08,7.80e+08,3.36e+06
5,2.526e+03,3.44e+08,2.58e+09,3.49e+06
5,2.378e+03,3.29e+08,2.08e+09,3.30e+06
5,2.227e+03,3.03e+08,2.83e+09,3.07e+06
5,2.124e+03,2.92e+08,1.95e+09,2.92e+06
5,2.290e+03,3.16e+08,1.78e+09,3.13e+06
5,2.334e+03,3.21e+08,7.45e+08,3.22e+06
5,1.838e+03,2.48e+08,1.34e+09,2.47e+06
5,2.476e+03,3.36e+08,1.73e+09,3.37e+06
5,2.256e+03,3.04e+08,1.70e+09,3.06e+06
5,2.444e+03,3.32e+08,2.66e+09,3.35e+06
5,2.498e+03,3.43e+08,2.67e+09,3.40e+06
5,1.915e+03,2.60e+08,2.62e+09,2.60e+06
5,2.126e+03,3.01e+08,2.07e+09,2.95e+06
5,2.411e+03,3.31e+08,1.97e+09,3.30e+06
5,2.305e+03,3.10e+08,1.92e+09,3.10e+06
5,1.836e+03,2.51e+08,2.75e+09,2.52e+06
5,2.308e+03,3.13e+08,3.50e+09,3.14e+06
5,2.219e+03,3.09e+08,2.32e+09,3.09e+06
5,2.395e+03,3.27e+08,2.33e+09,3.31e+06
5,1.816e+03,2.46e+08,1.56e+09,2.50e+06
5,2.540e+03,3.54e+08,1.87e+09,3.53e+06
5,2.061e+03,2.81e+08,1.30e+09,2.82e+06
5,2.602e+03,3.54e+08,2.39e+09,3.50e+06
5,2.534e+03,3.46e+08,2.41e+09,3.46e+06
5,2.413e+03,3.32e+08,1.83e+09,3.33e+06
5,1.730e+03,2.36e+08,2.67e+09,2.38e+06
5,2.167e+03,2.95e+08,2.23e+09,2.93e+06
5,2.080e+03,2.81e+08,1.75e+09,2.82e+06
5,1.935e+03,2.64e+08,1.64e+09,2.64e+06
5,1.732e+03,2.32e+08,3.02e+09,2.33e+06
5,1.943e+03,2.63e+08,2.70e+09,2.66e+06
5,1.812e+03,2.46e+08,1.14e+09,2.46e+06
5,1.898e+03,2.62e+08,1.83e+09,2.61e+06
5,2.425e+03,3.30e+08,1.35e+09,3.31e+06
5,2.117e+03,2.92e+08,3.10e+09,2.97e+06
5,2.505e+03,3.41e+08,1.93e+09,3.44e+06
5,1.963e+03,2.62e+08,1.61e+09,2.61e+06
5,2.272e+03,3.10e+08,2.38e+09,3.10e+06
5,2.238e+03,3.04e+08,1.46e+09,3.05e+06
5,2.229e+03,3.05e+08,2.78e+09,3.07e+06
5,2.054e+03,2.79e+08,1.46e+09,2.80e+06
5,1.914e+03,2.60e+08,2.13e+09,2.63e+06
5,2.122e+03,2.95e+08,3.38e+09,2.97e+06
5,2.321e+03,3.14e+08,1.56e+09,3.16e+06
5,2.526e+03,3.44e+08,2.07e+09,3.40e+06
5,1.904e+03,2.57e+08,1.48e+09,2.58e+06
5,1.719e+03,2.32e+08,4.45e+09,2.35e+06
5,2.260e+03,3.14e+08,1.16e+09,3.14e+06
5,1.798e+03,2.43e+08,1.92e+09,2.45e+06
5,2.443e+03,3.28e+08,2.59e+09,3.28e+06
5,1.554e+03,2.11e+08,8.74e+08,2.13e+06
5,2.745e+03,3.81e+08,2.21e+09,3.84e+06
5,2.471e+03,3.33e+08,1.64e+09,3.35e+06
5,2.049e+03,2.80e+08,2.66e+09,2.77e+06
5,2.104e+03,2.95e+08,2.04e+09,2.94e+06
5,2.183e+03,3.02e+08,2.11e+09,3.03e+06
5,1.661e+03,2.21e+08,2.24e+09,2.22e+06
5,2.254e+03,3.07e+08,2.60e+09,3.08e+06
5,1.609e+03,2.16e+08,1.68e+09,2.16e+06
5,2.065e+03,2.83e+08,2.27e+09,2.82e+06
5,2.460e+03,3.32e+08,2.46e+09,3.37e+06
5,1.976e+03,2.69e+08,2.42e+09,2.71e+06
5,2.169e+03,2.95e+08,1.93e+09,2.95e+06
5,1.941e+03,2.65e+08,1.09e+09,2.64e+06
5,2.737e+03,3.74e+08,2.87e+09,3.73e+06
5,2.412e+03,3.26e+08,3.01e+09,3.28e+06
